"region","year","mean","lower","upper","model"
"Caucasus and Central Asia Oil Exporters",2020,6.86427074412766,-0.625199233499589,14.4032125246168,"linear"
"Caucasus and Central Asia Oil Exporters",2021,6.53565108700063,-1.85621317837962,14.8971992632673,"linear"
"Caucasus and Central Asia Oil Exporters",2022,6.79082721485296,-1.55456650886553,14.6324016823714,"linear"
"Caucasus and Central Asia Oil Exporters",2023,6.73625131967836,-1.49634185730109,14.7854430050443,"linear"
"Caucasus and Central Asia Oil Exporters",2024,6.65769027062557,-1.13065368491202,14.8736142410589,"linear"
"Caucasus and Central Asia Oil Exporters",2025,6.89235473859827,-0.902233427923177,14.3385852683961,"linear"
"Caucasus and Central Asia Oil Exporters",2026,6.79616453703725,-1.30820732016823,14.7089479622832,"linear"
"Caucasus and Central Asia Oil Exporters",2027,6.69044144014845,-1.00878162607654,13.8914430261034,"linear"
"Caucasus and Central Asia Oil Exporters",2028,6.74772510891173,-1.10647284836362,14.7201710254624,"linear"
"Caucasus and Central Asia Oil Exporters",2029,6.96278652291233,-0.78674165841565,15.4542508163905,"linear"
"Caucasus and Central Asia Oil Exporters",2030,6.96466325438984,-1.41418341256424,14.9411695422464,"linear"
"Caucasus and Central Asia Oil Importers",2020,6.28424741122647,3.1805384309879,9.24430639509763,"linear"
"Caucasus and Central Asia Oil Importers",2021,6.35914734700169,3.34489930076686,9.3846790117778,"linear"
"Caucasus and Central Asia Oil Importers",2022,6.31577856166129,3.45054765121657,9.21964260547952,"linear"
"Caucasus and Central Asia Oil Importers",2023,6.27063701796262,3.3771985836447,9.23817859620054,"linear"
"Caucasus and Central Asia Oil Importers",2024,6.34857169383771,3.30971005525829,9.33903657361027,"linear"
"Caucasus and Central Asia Oil Importers",2025,6.28466419526213,3.13611130602403,9.38645278774747,"linear"
"Caucasus and Central Asia Oil Importers",2026,6.26371879775002,3.23825987888781,9.39301465763994,"linear"
"Caucasus and Central Asia Oil Importers",2027,6.35687615699239,3.34908851478497,9.44603581612463,"linear"
"Caucasus and Central Asia Oil Importers",2028,6.36760430574756,3.39249989652763,9.23541943649607,"linear"
"Caucasus and Central Asia Oil Importers",2029,6.24604122341567,3.32234398488983,9.21143842001372,"linear"
"Caucasus and Central Asia Oil Importers",2030,6.33360844415441,3.2836359200777,9.37050262028137,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2020,3.52702999570525,-1.74801974231157,9.38000109152713,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2021,3.69583471886396,-2.42991683045221,9.75991082920138,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2022,3.60564786165374,-1.82471301177448,9.02719853415767,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2023,3.51652519119298,-2.07381652562957,9.08832414966836,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2024,3.52352655860437,-1.92162212926799,8.98761323694559,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2025,3.66228045197065,-2.10925063887538,8.99822742363645,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2026,3.67219340443163,-1.67359933744308,8.62388283199016,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2027,3.65801199168203,-1.68638314584358,8.97997252355709,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2028,3.6770592505008,-1.48890737981231,9.31478670200999,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2029,3.7166243292071,-2.0258271288121,9.4044185616097,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Non-GCC Oil Exporters",2030,3.67411843682199,-1.88635417101531,9.18347269598104,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2020,4.21680030523091,-1.04793463248421,9.02114016204665,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2021,4.06030815278763,-0.766535951532418,9.07777496565259,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2022,4.11213134932396,-1.0326581827156,9.00910006866041,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2023,4.23064968064168,-0.527071126275802,9.23389456916463,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2024,3.98316576220157,-1.11171742044582,9.20667248205982,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2025,4.16878906662016,-0.614598993987541,9.03376807812846,"linear"
"Middle East and North Africa, Afghanistan, Pakistan Oil Exporters",2026,3.93460514234932,-0.888225525004934,8.82652266616442,"linear"
